,Unnamed: 0,Symbol,Wikipedia Link,Name,Sector,SEC Filings Link,CIK,Enterprise Value,Trailing P/E,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,EBITDA,Diluted EPS,Market Cap (intraday),Forward P/E,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding
0,0,MMM,https://en.wikipedia.org/wiki/wiki/3M,3M Company,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000066740&type=10-K&dateb=&owner=include&count=40,66740,142780000000.0,26.77,4.51,16.08,31660000000.0,8880000000.0,7.93,126230000000.0,18.5,1.02,230.23,231.49,2720000.0,2850000.0,594710000.0
1,1,ABT,https://en.wikipedia.org/wiki/wiki/Abbott_Laboratories,Abbott Laboratories,Health Care,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000001800&type=10-K&dateb=&owner=include&count=40,1800,124720000000.0,214.01,4.55,20.93,27390000000.0,5960000000.0,0.27,100540000000.0,17.88,1.71,60.67,57.43,7160000.0,6600000.0,1750000000.0
2,2,ABBV,https://en.wikipedia.org/wiki/wiki/AbbVie_Inc.,AbbVie Inc.,Health Care,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001551152&type=10-K&dateb=&owner=include&count=40,1551152,183360000000.0,27.21,6.5,15.1,28220000000.0,12140000000.0,3.3,142450000000.0,10.28,1.49,113.1,100.42,7180000.0,11980000.0,1590000000.0
3,3,ACN,https://en.wikipedia.org/wiki/wiki/Accenture_plc,Accenture plc,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001467373&type=10-K&dateb=&owner=include&count=40,1467373,96790000000.0,26.12,2.7,16.53,35860000000.0,5850000000.0,5.64,94780000000.0,20.13,1.0,157.52,150.54,2510000.0,2660000.0,643090000.0
4,4,ATVI,https://en.wikipedia.org/wiki/wiki/Activision_Blizzard,Activision Blizzard,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000718877&type=10-K&dateb=&owner=include&count=40,718877,52540000000.0,179.33,7.49,23.59,7020000000.0,2230000000.0,0.36,48980000000.0,21.52,0.72,71.3,66.61,7060000.0,8010000.0,758630000.0
5,5,AYI,https://en.wikipedia.org/wiki/wiki/Acuity_Brands_Inc,Acuity Brands Inc,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001144215&type=10-K&dateb=&owner=include&count=40,1144215,5570000000.0,18.13,1.59,9.32,3500000000.0,597500000.0,7.27,5350000000.0,13.52,1.26,144.57,159.74,,1390000.0,40550000.0
6,6,ADBE,https://en.wikipedia.org/wiki/wiki/Adobe_Systems_Inc,Adobe Systems Inc,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000796343&type=10-K&dateb=&owner=include&count=40,796343,104240000000.0,58.31,13.54,38.27,7700000000.0,2720000000.0,3.75,107660000000.0,29.86,0.85,215.41,185.8,3160000.0,3870000.0,492470000.0
7,7,AMD,https://en.wikipedia.org/wiki/wiki/Advanced_Micro_Devices_Inc,Advanced Micro Devices Inc,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000002488&type=10-K&dateb=&owner=include&count=40,2488,10780000000.0,240.25,2.02,30.99,5330000000.0,348000000.0,0.04,9310000000.0,18.13,3.25,11.27,11.79,62360000.0,60990000.0,969130000.0
8,8,AAP,https://en.wikipedia.org/wiki/wiki/Advance_Auto_Parts,Advance Auto Parts,Consumer Discretionary,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001158449&type=10-K&dateb=&owner=include&count=40,1158449,8910000000.0,17.43,0.95,9.79,9370000000.0,909400000.0,6.42,8279999999.999998,14.8,0.98,114.78,102.86,1300000.0,1110000.0,73980000.0
9,9,AET,https://en.wikipedia.org/wiki/wiki/Aetna_Inc,Aetna Inc,Health Care,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001122304&type=10-K&dateb=&owner=include&count=40,1122304,58350000000.0,30.0,0.96,10.26,60540000000.0,5690000000.0,5.68,55700000000.0,13.95,0.58,173.98,174.15,2390000.0,2140000.0,326940000.0
